Id,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zipcode
21773,Approved,CITY,Manhattan,984357,213176,40.7517954,-73.9996138,10001
21772,Approved,CITY,Manhattan,1000058,226756,40.7890548,-73.9429129,10029
21771,Approved,CITY,Manhattan,1001973,233004,40.8062002,-73.9359809,10035
21770,Proposed,CITY,Manhattan,998214,226335,40.7879024,-73.949573,10029
21768,Installed,CITY,Bronx,1026571,262690,40.8875958,-73.8469406,10466
21766,Installed,CITY,Bronx,1016006,258200,40.8753165,-73.8851715,10458
21765,Approved,CITY,Bronx,1010969,254597,40.8654441,-73.9033995,10468
21763,Approved,CITY,Bronx,1006423,248570,40.8489144,-73.9198551,10453
21762,Approved,CITY,Bronx,1006968,247866,40.8469807,-73.9178876,10453
21761,Installed,CITY,Bronx,1008943,246327,40.8427513,-73.9107548,10457
21760,Approved,CITY,Bronx,1020071,252886,40.8607157,-73.870501,10467
21759,Installed,CITY,Bronx,1024361,243944,40.8361541,-73.8550455,10462
21758,Installed,CITY,Bronx,1014931,237931,40.819688,-73.8891514,10474
21757,Approved,CITY,Manhattan,984474,214840,40.7563626,-73.9991915,10018
21756,Approved,CITY,Manhattan,994121,233435,40.8073955,-73.9643433,10027
21755,Approved,CITY,Bronx,1014379,253227,40.8616729,-73.891077,10458
21754,Approved,CITY,Bronx,1006764,233770,40.8082918,-73.9186722,10454
21753,Approved,CITY,Bronx,1016203,258105,40.8750551,-73.8844596,10458
21752,Proposed,CITY,Bronx,1005453,245485,40.8404493,-73.923371,10452
21751,Approved,CITY,Bronx,1007864,245777,40.8412447,-73.9146564,10452
21750,Proposed,CITY,Bronx,1007320,243787,40.8357842,-73.9166293,10452
21749,Approved,CITY,Bronx,1004822,245831,40.8414005,-73.9256504,10452
21748,Approved,CITY,Bronx,1006472,246232,40.8424971,-73.9196857,10452
21747,Approved,CITY,Bronx,1004091,243756,40.8357069,-73.9282984,10452
21746,Approved,CITY,Bronx,1005725,245957,40.8417442,-73.9223864,10452
21745,Proposed,CITY,Bronx,1003307,243079,40.8338505,-73.9311336,10452
